Assessment,Role,Skills,Difficulty,Duration,Category,Level,Test_Type,Remote_Testing,Adaptive,Industry
Verify Interactive,Graduate,Problem Solving Reasoning Cognitive,Medium,36,Cognitive,Entry,Cognitive Test,Yes,Yes,General
Graduate Ability Test,Graduate,Aptitude Communication Reasoning,Easy,30,Cognitive,Entry,Cognitive Test,Yes,Yes,General
Graduate Numerical Test,Graduate,Numerical Analysis Quantitative,Medium,35,Cognitive,Entry,Cognitive Test,Yes,Yes,General
Graduate Logical Test,Graduate,Logical Thinking Problem Solving,Medium,30,Cognitive,Entry,Cognitive Test,Yes,Yes,General
Graduate Communication Test,Graduate,Communication Verbal English,Easy,25,Behavioral,Entry,Knowledge Test,Yes,No,General
Python Coding Assessment,Software Engineer,Python Coding Algorithms Data Structures,Hard,60,Technical,Mid,Coding Test,Yes,No,IT
Java Coding Assessment,Software Engineer,Java OOP Programming Spring,Medium,60,Technical,Mid,Coding Test,Yes,No,IT
C++ Coding Test,Software Engineer,C++ Algorithms Problem Solving,Hard,65,Technical,Mid,Coding Test,Yes,No,IT
Frontend Developer Test,Software Engineer,HTML CSS JavaScript React,Medium,55,Technical,Mid,Coding Test,Yes,No,IT
Backend Developer Test,Software Engineer,Python APIs Databases Backend,Hard,75,Technical,Mid,Coding Test,Yes,No,IT
Full Stack Assessment,Software Engineer,Frontend Backend Database API,Hard,90,Technical,Mid,Coding Test,Yes,No,IT
DevOps Assessment,DevOps Engineer,CI CD Docker Kubernetes Automation,Hard,70,Technical,Mid,Knowledge Test,Yes,No,IT
Cloud Engineering Test,Cloud Engineer,AWS Azure Cloud Infrastructure,Hard,70,Technical,Mid,Knowledge Test,Yes,No,IT
System Design Test,Software Engineer,System Design Architecture Scalability,Hard,80,Technical,Senior,Simulation,Yes,No,IT
Software Debugging Test,Software Engineer,Debugging Troubleshooting Coding,Medium,50,Technical,Mid,Coding Test,Yes,No,IT
SQL Assessment,Data Analyst,SQL Database Query Data Analysis,Easy,40,Technical,Entry,Knowledge Test,Yes,No,IT
Excel Analytics Test,Data Analyst,Excel Analytics Reporting Data,Easy,30,Technical,Entry,Knowledge Test,Yes,No,IT
Data Analysis Test,Data Analyst,Statistics Analytics Visualization,Medium,45,Technical,Mid,Knowledge Test,Yes,No,IT
Numerical Reasoning Test,Data Analyst,Numbers Analytics Quantitative Reasoning,Medium,35,Cognitive,Entry,Cognitive Test,Yes,Yes,General
Data Visualization Test,Data Analyst,PowerBI Tableau Visualization,Medium,45,Technical,Mid,Knowledge Test,Yes,No,IT
Business Intelligence Test,Data Analyst,BI Reporting Dashboards SQL,Medium,50,Technical,Mid,Knowledge Test,Yes,No,IT
Data Cleaning Assessment,Data Analyst,Data Cleaning Pandas Python,Medium,40,Technical,Mid,Coding Test,Yes,No,IT
Statistics Assessment,Data Scientist,Statistics Probability Mathematics,Hard,60,Technical,Mid,Knowledge Test,Yes,No,IT
Machine Learning Test,Data Scientist,ML Algorithms Regression Classification,Hard,80,Technical,Senior,Coding Test,Yes,No,IT
Deep Learning Assessment,Data Scientist,Neural Networks Deep Learning,Hard,90,Technical,Senior,Coding Test,Yes,No,IT
NLP Assessment,Data Scientist,NLP Text Processing Language Models,Hard,85,Technical,Senior,Coding Test,Yes,No,IT
AI Engineering Test,Data Scientist,Python ML AI Deployment,Hard,80,Technical,Senior,Simulation,Yes,No,IT
Data Science Assessment,Data Scientist,Python ML Statistics Analytics,Hard,75,Technical,Mid,Coding Test,Yes,No,IT
Model Evaluation Test,Data Scientist,Model Validation Metrics Evaluation,Medium,45,Technical,Mid,Knowledge Test,Yes,No,IT
Feature Engineering Test,Data Scientist,Feature Engineering Data Processing,Medium,50,Technical,Mid,Coding Test,Yes,No,IT
