Assessment,Role,Skills,Difficulty,Duration,Category,Level,Test_Type,Remote_Testing,Adaptive,Industry,combined_features,meta_features,final_features
verify interactive,graduate,"problem,solving,reasoning,cognitive",2,36,cognitive,entry,cognitive test,1,1,general,"graduate problem,solving,reasoning,cognitive cognitive entry general",2 36,"graduate problem,solving,reasoning,cognitive cognitive entry general 2 36"
graduate ability test,graduate,"aptitude,communication,reasoning",1,30,cognitive,entry,cognitive test,1,1,general,"graduate aptitude,communication,reasoning cognitive entry general",1 30,"graduate aptitude,communication,reasoning cognitive entry general 1 30"
graduate numerical test,graduate,"numerical,analysis,quantitative",2,35,cognitive,entry,cognitive test,1,1,general,"graduate numerical,analysis,quantitative cognitive entry general",2 35,"graduate numerical,analysis,quantitative cognitive entry general 2 35"
graduate logical test,graduate,"logical,thinking,problem,solving",2,30,cognitive,entry,cognitive test,1,1,general,"graduate logical,thinking,problem,solving cognitive entry general",2 30,"graduate logical,thinking,problem,solving cognitive entry general 2 30"
graduate communication test,graduate,"communication,verbal,english",1,25,behavioral,entry,knowledge test,1,0,general,"graduate communication,verbal,english behavioral entry general",1 25,"graduate communication,verbal,english behavioral entry general 1 25"
python coding assessment,software engineer,"python,coding,algorithms,data,structures",3,60,technical,mid,coding test,1,0,it,"software engineer python,coding,algorithms,data,structures technical mid it",3 60,"software engineer python,coding,algorithms,data,structures technical mid it 3 60"
java coding assessment,software engineer,"java,oop,programming,spring",2,60,technical,mid,coding test,1,0,it,"software engineer java,oop,programming,spring technical mid it",2 60,"software engineer java,oop,programming,spring technical mid it 2 60"
c++ coding test,software engineer,"c++,algorithms,problem,solving",3,65,technical,mid,coding test,1,0,it,"software engineer c++,algorithms,problem,solving technical mid it",3 65,"software engineer c++,algorithms,problem,solving technical mid it 3 65"
frontend developer test,software engineer,"html,css,javascript,react",2,55,technical,mid,coding test,1,0,it,"software engineer html,css,javascript,react technical mid it",2 55,"software engineer html,css,javascript,react technical mid it 2 55"
backend developer test,software engineer,"python,apis,databases,backend",3,75,technical,mid,coding test,1,0,it,"software engineer python,apis,databases,backend technical mid it",3 75,"software engineer python,apis,databases,backend technical mid it 3 75"
full stack assessment,software engineer,"frontend,backend,database,api",3,90,technical,mid,coding test,1,0,it,"software engineer frontend,backend,database,api technical mid it",3 90,"software engineer frontend,backend,database,api technical mid it 3 90"
devops assessment,devops engineer,"ci,cd,docker,kubernetes,automation",3,70,technical,mid,knowledge test,1,0,it,"devops engineer ci,cd,docker,kubernetes,automation technical mid it",3 70,"devops engineer ci,cd,docker,kubernetes,automation technical mid it 3 70"
cloud engineering test,cloud engineer,"aws,azure,cloud,infrastructure",3,70,technical,mid,knowledge test,1,0,it,"cloud engineer aws,azure,cloud,infrastructure technical mid it",3 70,"cloud engineer aws,azure,cloud,infrastructure technical mid it 3 70"
system design test,software engineer,"system,design,architecture,scalability",3,80,technical,senior,simulation,1,0,it,"software engineer system,design,architecture,scalability technical senior it",3 80,"software engineer system,design,architecture,scalability technical senior it 3 80"
software debugging test,software engineer,"debugging,troubleshooting,coding",2,50,technical,mid,coding test,1,0,it,"software engineer debugging,troubleshooting,coding technical mid it",2 50,"software engineer debugging,troubleshooting,coding technical mid it 2 50"
sql assessment,data analyst,"sql,database,query,data,analysis",1,40,technical,entry,knowledge test,1,0,it,"data analyst sql,database,query,data,analysis technical entry it",1 40,"data analyst sql,database,query,data,analysis technical entry it 1 40"
excel analytics test,data analyst,"excel,analytics,reporting,data",1,30,technical,entry,knowledge test,1,0,it,"data analyst excel,analytics,reporting,data technical entry it",1 30,"data analyst excel,analytics,reporting,data technical entry it 1 30"
data analysis test,data analyst,"statistics,analytics,visualization",2,45,technical,mid,knowledge test,1,0,it,"data analyst statistics,analytics,visualization technical mid it",2 45,"data analyst statistics,analytics,visualization technical mid it 2 45"
numerical reasoning test,data analyst,"numbers,analytics,quantitative,reasoning",2,35,cognitive,entry,cognitive test,1,1,general,"data analyst numbers,analytics,quantitative,reasoning cognitive entry general",2 35,"data analyst numbers,analytics,quantitative,reasoning cognitive entry general 2 35"
data visualization test,data analyst,"powerbi,tableau,visualization",2,45,technical,mid,knowledge test,1,0,it,"data analyst powerbi,tableau,visualization technical mid it",2 45,"data analyst powerbi,tableau,visualization technical mid it 2 45"
business intelligence test,data analyst,"bi,reporting,dashboards,sql",2,50,technical,mid,knowledge test,1,0,it,"data analyst bi,reporting,dashboards,sql technical mid it",2 50,"data analyst bi,reporting,dashboards,sql technical mid it 2 50"
data cleaning assessment,data analyst,"data,cleaning,pandas,python",2,40,technical,mid,coding test,1,0,it,"data analyst data,cleaning,pandas,python technical mid it",2 40,"data analyst data,cleaning,pandas,python technical mid it 2 40"
statistics assessment,data scientist,"statistics,probability,mathematics",3,60,technical,mid,knowledge test,1,0,it,"data scientist statistics,probability,mathematics technical mid it",3 60,"data scientist statistics,probability,mathematics technical mid it 3 60"
machine learning test,data scientist,"ml,algorithms,regression,classification",3,80,technical,senior,coding test,1,0,it,"data scientist ml,algorithms,regression,classification technical senior it",3 80,"data scientist ml,algorithms,regression,classification technical senior it 3 80"
deep learning assessment,data scientist,"neural,networks,deep,learning",3,90,technical,senior,coding test,1,0,it,"data scientist neural,networks,deep,learning technical senior it",3 90,"data scientist neural,networks,deep,learning technical senior it 3 90"
